Name,Avg Points,Avg Yards,NPY/A,NRY/A,3rd%_x,4th%_x,Avg Points Let,Avg Yards Let,NPY/A Let,NRY/A Let,3rd%_y,4th%_y
New Orleans Saints,31.875,403.8125,7.7,4.5,44.7%,40.0%,21.3125,357.75,6.2,4.5,38.0%,45.8%
Minnesota Vikings,29.375,379.625,7.1,4.1,44.8%,66.7%,19.5,305.5,6.0,3.9,34.5%,41.7%
Green Bay Packers,28.8125,379.0625,6.9,4.3,47.0%,33.3%,18.5625,284.4375,5.6,3.6,36.0%,40.0%
San Diego Chargers,28.375,360.0625,8.0,3.3,44.4%,50.0%,20.0,327.0,5.9,4.5,40.4%,50.0%
Philadelphia Eagles,26.8125,357.875,6.9,4.3,36.2%,42.9%,21.0625,321.0625,5.5,4.1,33.0%,56.7%
New England Patriots,26.6875,397.3125,7.3,4.1,43.7%,50.0%,17.8125,320.1875,6.2,4.4,37.1%,47.6%
Indianapolis Colts,26.0,363.0625,7.4,3.5,49.2%,45.5%,19.1875,339.1875,5.5,4.3,45.0%,31.6%
New York Giants,25.125,366.0,7.0,4.1,42.9%,60.0%,26.6875,324.875,6.5,4.2,38.7%,63.2%
Baltimore Ravens,24.4375,351.1875,6.3,4.7,41.6%,46.2%,16.3125,300.5,6.0,3.4,36.7%,41.2%
Houston Texans,24.25,383.0625,7.5,3.5,40.2%,66.7%,20.8125,324.875,6.0,4.3,39.3%,42.9%
Arizona Cardinals,23.4375,344.375,6.5,4.1,36.3%,55.6%,20.3125,346.4375,5.9,4.5,35.3%,50.0%
Pittsburgh Steelers,23.0,371.3125,7.1,4.2,39.4%,66.7%,20.25,305.3125,5.8,3.9,42.3%,70.0%
Atlanta Falcons,22.6875,340.4375,6.0,4.2,42.1%,69.6%,20.3125,348.875,6.9,4.0,45.3%,47.1%
Dallas Cowboys,22.5625,399.375,7.3,4.8,40.6%,36.4%,15.625,315.875,5.9,4.0,35.0%,50.0%
Miami Dolphins,22.5,337.5625,5.5,4.4,49.0%,72.2%,24.375,349.3125,7.0,4.2,34.8%,53.3%
Tennessee Titans,22.125,351.4375,6.2,5.2,41.6%,54.5%,25.125,365.625,6.5,4.3,40.8%,70.6%
New York Jets,21.75,321.0,5.6,4.5,37.1%,75.0%,14.75,252.3125,4.6,3.8,31.5%,36.8%
San Francisco 49ers,20.625,290.75,5.4,4.3,29.8%,57.1%,17.5625,326.375,5.9,3.6,36.7%,40.0%
Chicago Bears,20.4375,310.3125,5.8,4.0,37.3%,38.9%,23.4375,337.75,6.0,4.3,41.2%,46.2%
Denver Broncos,20.375,341.4375,6.1,4.2,36.3%,38.9%,20.25,315.0,5.4,4.5,37.2%,50.0%
Carolina Panthers,19.6875,331.0625,5.6,4.8,37.3%,45.0%,19.25,315.8125,5.8,4.4,35.5%,52.9%
Cincinnati Bengals,19.0625,309.125,5.7,4.1,40.6%,71.4%,18.1875,301.375,5.6,3.9,38.6%,46.7%
Kansas City Chiefs,18.375,303.1875,5.0,4.4,27.3%,48.3%,26.5,388.1875,7.0,4.7,38.1%,54.5%
Jacksonville Jaguars,18.125,336.5625,6.0,4.5,45.1%,57.1%,23.75,352.3125,7.2,4.1,45.0%,70.6%
Seattle Seahawks,17.5,316.8125,5.4,4.0,33.3%,42.1%,24.375,356.4375,6.6,4.1,39.0%,50.0%
Washington Redskins,16.625,312.5,6.0,3.9,39.8%,31.8%,21.0,319.6875,6.0,4.0,39.7%,23.5%
Detroit Lions,16.375,299.0,5.0,4.0,35.9%,26.9%,30.875,392.125,7.4,4.4,40.5%,66.7%
Buffalo Bills,16.125,273.875,5.2,4.4,25.8%,46.7%,20.375,340.5625,5.4,4.7,40.4%,53.8%
Cleveland Browns,15.3125,260.1875,4.4,4.2,32.6%,66.7%,23.4375,389.3125,6.9,4.6,38.9%,50.0%
Tampa Bay Buccaneers,15.25,287.5,5.3,4.0,32.6%,40.9%,25.0,365.5625,6.5,4.8,40.2%,60.0%
Oakland Raiders,12.3125,266.125,4.8,4.1,29.6%,47.6%,23.6875,361.9375,7.0,4.5,35.6%,64.3%
St. Louis Rams,10.9375,279.375,4.6,4.3,32.3%,35.7%,27.25,372.8125,7.3,4.4,43.5%,50.0%
