Name,Avg Points Let,Avg Yards Let,NPY/A Let,NRY/A Let
Pittsburgh Steelers,15.6875,258.375,5.4,3.6
Philadelphia Eagles,16.25,319.6875,5.4,4.3
New England Patriots,16.25,310.75,5.8,3.9
New York Jets,16.3125,304.875,6.2,3.6
Washington Redskins,16.5625,267.5625,5.4,3.1
Baltimore Ravens,16.75,300.1875,5.8,3.6
Jacksonville Jaguars,17.5,320.875,6.3,4.1
Buffalo Bills,17.75,264.25,4.9,3.6
Denver Broncos,19.0,278.6875,5.6,3.8
Tampa Bay Buccaneers,19.0,284.5,5.4,4.1
San Diego Chargers,19.5625,335.0,6.4,3.7
Arizona Cardinals,20.125,321.3125,5.6,4.7
Chicago Bears,20.6875,336.875,6.1,4.1
Atlanta Falcons,21.0625,325.4375,6.2,3.9
Carolina Panthers,21.1875,336.375,6.4,4.0
Houston Texans,21.1875,341.125,6.5,4.4
New York Giants,21.6875,324.1875,6.0,4.3
Detroit Lions,21.875,337.5625,6.1,3.8
Indianapolis Colts,21.9375,370.5625,6.5,4.6
Miami Dolphins,22.125,305.875,5.5,4.3
Cincinnati Bengals,23.25,335.3125,5.9,4.4
Seattle Seahawks,23.3125,351.3125,6.0,4.5
Green Bay Packers,23.75,346.3125,6.6,4.6
Cleveland Browns,24.375,325.9375,5.9,4.3
St. Louis Rams,24.5,334.5625,6.0,4.5
Minnesota Vikings,24.6875,368.875,6.7,4.6
New Orleans Saints,25.3125,383.8125,6.7,4.6
Dallas Cowboys,25.3125,330.3125,6.6,4.2
Kansas City Chiefs,27.1875,377.3125,7.5,4.6
Tennessee Titans,27.4375,357.75,6.8,4.6
Oakland Raiders,27.625,371.0,7.3,3.7
San Francisco 49ers,28.25,342.5625,6.7,4.0
