Name,Avg Points,Avg Yards,NPY/A,NRY/A
St. Louis Rams,32.875,400.75,7.7,4.8
Washington Redskins,27.6875,372.8125,6.9,4.4
Indianapolis Colts,26.4375,357.875,7.3,4.0
Carolina Panthers,26.3125,355.375,6.6,4.3
Minnesota Vikings,24.9375,362.0625,7.0,4.3
Jacksonville Jaguars,24.75,349.125,6.1,4.1
Tennessee Titans,24.5,331.0,6.3,3.9
Kansas City Chiefs,24.375,332.5625,6.1,4.0
Oakland Raiders,24.375,355.8125,6.3,4.3
Green Bay Packers,22.3125,338.6875,6.1,3.9
Dallas Cowboys,22.0,323.625,5.9,4.2
Seattle Seahawks,21.125,300.3125,6.0,3.5
Miami Dolphins,20.375,308.625,5.6,3.3
Baltimore Ravens,20.25,298.625,5.0,4.1
Detroit Lions,20.125,308.1875,5.9,3.5
Buffalo Bills,20.0,333.3125,6.1,3.9
Pittsburgh Steelers,19.8125,304.625,5.0,4.0
Denver Broncos,19.625,330.1875,5.8,4.0
New York Jets,19.25,297.0,5.4,4.0
New York Giants,18.6875,320.4375,5.8,3.3
New England Patriots,18.6875,316.375,6.1,3.4
San Francisco 49ers,18.4375,336.25,5.5,5.0
Atlanta Falcons,17.8125,283.875,6.0,3.2
Cincinnati Bengals,17.6875,329.8125,5.4,4.6
Philadelphia Eagles,17.0,239.375,4.0,4.1
Chicago Bears,17.0,345.1875,5.7,3.5
Tampa Bay Buccaneers,16.875,265.875,5.1,3.5
San Diego Chargers,16.8125,286.8125,5.3,3.0
New Orleans Saints,16.25,311.4375,5.5,3.7
Arizona Cardinals,15.3125,250.625,4.6,3.0
Cleveland Browns,13.5625,235.125,4.7,3.7
