Name,Avg Points,Avg Yards,NPY/A,NRY/A
San Francisco 49ers,28.5625,380.4375,6.8,3.6
Detroit Lions,27.25,382.0625,6.8,4.5
Dallas Cowboys,27.1875,364.0,7.1,4.4
Minnesota Vikings,25.75,371.125,6.2,4.0
Pittsburgh Steelers,25.4375,360.5625,6.4,3.7
Green Bay Packers,25.25,359.375,6.9,3.5
Miami Dolphins,24.875,357.25,6.8,3.6
Chicago Bears,24.5,354.5625,7.0,3.9
Denver Broncos,24.25,377.5,6.5,4.5
Seattle Seahawks,22.6875,329.375,5.6,4.6
Atlanta Falcons,22.625,348.6875,6.5,4.1
Kansas City Chiefs,22.375,327.625,5.5,4.4
Buffalo Bills,21.875,319.8125,5.8,3.8
Cincinnati Bengals,21.8125,324.5,6.1,4.0
Oakland Raiders,21.75,344.0625,6.2,4.2
Houston Oilers,21.75,306.5625,5.7,3.5
Indianapolis Colts,20.6875,307.4375,6.3,3.9
Washington Redskins,20.375,324.0,5.8,4.2
San Diego Chargers,20.0625,325.8125,6.1,3.6
New Orleans Saints,19.9375,323.625,6.3,3.6
Philadelphia Eagles,19.875,300.4375,5.0,4.2
St. Louis Rams,19.3125,327.25,5.6,3.7
New England Patriots,18.375,341.0625,5.0,3.9
New York Giants,18.125,280.1875,5.0,3.8
Cleveland Browns,18.0625,317.25,6.1,3.7
Carolina Panthers,18.0625,288.6875,5.3,3.5
Jacksonville Jaguars,17.1875,280.9375,5.1,4.2
Arizona Cardinals,17.1875,304.125,5.7,3.5
Tampa Bay Buccaneers,14.875,283.875,5.2,4.0
New York Jets,14.5625,254.1875,4.4,3.5
