0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0,22.9375,356.3125,5.8,4.6,0.52,0.62,21.9375,322.375,6.0,4.2,0.47,0.73,1,20.0,364.125,6.9,3.9,0.39,0.36,17.4375,309.3125,5.4,4.5,0.37,0.38
0,0,25.125,345.9375,6.1,4.5,0.42,0.6,19.625,333.375,5.9,4.6,0.4,0.43,1,24.875,347.5,6.0,4.3,0.39,0.54,20.5,311.5625,5.2,4.8,0.34,0.38
0,1,23.6875,349.4375,6.0,4.1,0.43,0.58,24.8125,324.3125,5.8,4.5,0.37,0.44,0,22.4375,314.75,6.6,4.0,0.4,0.33,21.0,341.4375,6.0,4.6,0.44,0.56
1,0,20.8125,332.8125,5.7,4.6,0.37,0.33,22.9375,377.125,6.6,4.2,0.38,0.64,1,17.4375,325.375,5.5,4.1,0.39,0.37,28.5,329.0625,6.8,4.0,0.42,0.5
1,1,23.625,337.0,6.0,4.7,0.38,0.3,18.8125,291.0,5.5,3.8,0.34,0.31,0,19.125,279.4375,5.0,4.1,0.3,0.4,28.1875,382.3125,6.7,4.0,0.45,0.73
1,0,21.8125,351.0,6.6,3.6,0.45,0.77,19.5625,306.8125,5.8,4.3,0.37,0.48,1,20.5,303.1875,5.5,4.6,0.34,0.69,19.6875,333.4375,5.9,4.3,0.39,0.55
0,0,24.375,387.0,6.1,5.3,0.44,0.47,27.625,360.5625,7.2,4.2,0.39,0.33,1,17.5625,274.6875,5.2,3.5,0.34,0.48,23.6875,350.375,6.1,4.1,0.37,0.6
0,0,19.75,289.9375,5.5,4.2,0.38,0.54,22.125,334.5625,5.9,3.7,0.4,0.71,1,16.125,267.5,5.3,3.5,0.29,0.33,18.875,290.375,5.2,3.7,0.33,0.39
0,1,21.5,314.1875,5.8,4.0,0.41,0.8,20.0,334.25,6.0,4.3,0.4,0.5,0,29.1875,375.0,7.2,5.1,0.42,0.6,24.9375,390.5,6.4,4.8,0.42,0.59
1,1,19.1875,321.4375,5.5,4.3,0.4,0.52,22.8125,299.1875,5.3,4.0,0.35,0.36,0,16.375,285.1875,4.7,4.4,0.43,0.31,26.0625,376.25,7.0,4.4,0.43,0.47
